23:09:08, уставка 50.0-57.0, текущая темп. 56.3, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:09, уставка 50.0-57.0, текущая темп. 55.3, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:10, уставка 50.0-57.0, текущая темп. 55.3, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:11, уставка 50.0-57.0, текущая темп. 55.3, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:12, уставка 50.0-57.0, текущая темп. 54.4, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:13, уставка 50.0-57.0, текущая темп. 54.4, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:14, уставка 50.0-57.0, текущая темп. 53.7, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:15, уставка 50.0-57.0, текущая темп. 53.7, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:16, уставка 50.0-57.0, текущая темп. 53.7, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:17, уставка 50.0-57.0, текущая темп. 53.3, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:18, уставка 50.0-57.0, текущая темп. 53.3, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:19, уставка 50.0-57.0, текущая темп. 53.3, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:20, уставка 50.0-57.0, текущая темп. 53.7, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:21, уставка 50.0-57.0, текущая темп. 53.7, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:22, уставка 50.0-57.0, текущая темп. 53.7, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:23, уставка 50.0-57.0, текущая темп. 55.2, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:24, уставка 50.0-57.0, текущая темп. 55.2, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:25, уставка 50.0-57.0, текущая темп. 55.2, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:26, уставка 50.0-57.0, текущая темп. 56.7, охл. ВКЛ., нагр. ВЫКЛ.
23:09:27, уставка 50.0-57.0, текущая темп. 56.7, охл. ВКЛ., нагр. ВЫКЛ.
23:09:28, уставка 50.0-57.0, текущая темп. 56.7, охл. ВКЛ., нагр. ВЫКЛ.
23:09:29, уставка 50.0-57.0, текущая темп. 58.3, охл. ВКЛ., нагр. ВЫКЛ.
23:09:30, уставка 50.0-57.0, текущая темп. 58.3, охл. ВКЛ., нагр. ВЫКЛ.
23:09:31, уставка 50.0-57.0, текущая темп. 58.3, охл. ВКЛ., нагр. ВЫКЛ.
23:09:32, уставка 50.0-57.0, текущая темп. 59.7, охл. ВКЛ., нагр. ВЫКЛ.
23:09:33, уставка 50.0-57.0, текущая темп. 59.7, охл. ВКЛ., нагр. ВЫКЛ.
23:09:34, уставка 50.0-57.0, текущая темп. 59.7, охл. ВКЛ., нагр. ВЫКЛ.
23:09:35, уставка 50.0-57.0, текущая темп. 61.0, охл. ВКЛ., нагр. ВЫКЛ.
23:09:36, уставка 50.0-57.0, текущая темп. 61.0, охл. ВКЛ., нагр. ВЫКЛ.
23:09:37, уставка 50.0-57.0, текущая темп. 61.0, охл. ВКЛ., нагр. ВЫКЛ.
23:09:38, уставка 50.0-57.0, текущая темп. 61.7, охл. ВКЛ., нагр. ВЫКЛ.
23:09:39, уставка 50.0-57.0, текущая темп. 61.7, охл. ВКЛ., нагр. ВЫКЛ.


23:09:36, уставка 50.0-57.0, текущая темп. 61.0, охл. ВКЛ., нагр. ВЫКЛ.
23:09:37, уставка 50.0-57.0, текущая темп. 61.0, охл. ВКЛ., нагр. ВЫКЛ.
23:09:38, уставка 50.0-57.0, текущая темп. 61.7, охл. ВКЛ., нагр. ВЫКЛ.
23:09:39, уставка 50.0-57.0, текущая темп. 61.7, охл. ВКЛ., нагр. ВЫКЛ.
23:09:40, уставка 50.0-57.0, текущая темп. 61.7, охл. ВКЛ., нагр. ВЫКЛ.
23:09:41, уставка 50.0-57.0, текущая темп. 61.2, охл. ВКЛ., нагр. ВЫКЛ.
23:09:42, уставка 50.0-57.0, текущая темп. 61.2, охл. ВКЛ., нагр. ВЫКЛ.
23:09:43, уставка 50.0-57.0, текущая темп. 60.4, охл. ВКЛ., нагр. ВЫКЛ.
23:09:44, уставка 50.0-57.0, текущая темп. 60.4, охл. ВКЛ., нагр. ВЫКЛ.
23:09:45, уставка 50.0-57.0, текущая темп. 60.4, охл. ВКЛ., нагр. ВЫКЛ.
23:09:46, уставка 50.0-57.0, текущая темп. 59.0, охл. ВКЛ., нагр. ВЫКЛ.
23:09:47, уставка 50.0-57.0, текущая темп. 59.0, охл. ВКЛ., нагр. ВЫКЛ.
23:09:48, уставка 50.0-57.0, текущая темп. 59.0, охл. ВКЛ., нагр. ВЫКЛ.
23:09:49, уставка 50.0-57.0, текущая темп. 59.0, охл. ВКЛ., нагр. ВЫКЛ.
23:09:50, уставка 50.0-57.0, текущая темп. 57.8, охл. ВКЛ., нагр. ВЫКЛ.
23:09:51, уставка 50.0-57.0, текущая темп. 57.8, охл. ВКЛ., нагр. ВЫКЛ.
23:09:52, уставка 50.0-57.0, текущая темп. 57.8, охл. ВКЛ., нагр. ВЫКЛ.
23:09:53, уставка 50.0-57.0, текущая темп. 56.5, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:54, уставка 50.0-57.0, текущая темп. 56.5, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:55, уставка 50.0-57.0, текущая темп. 56.5, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:56, уставка 50.0-57.0, текущая темп. 55.5, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:57, уставка 50.0-57.0, текущая темп. 55.5, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:58, уставка 50.0-57.0, текущая темп. 54.6, охл. ВЫКЛ., нагр. ВЫКЛ.
23:09:59, уставка 50.0-57.0, текущая темп. 54.6, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:00, уставка 50.0-57.0, текущая темп. 54.6, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:01, уставка 50.0-57.0, текущая темп. 54.6, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:02, уставка 50.0-57.0, текущая темп. 53.8, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:03, уставка 50.0-57.0, текущая темп. 53.8, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:04, уставка 50.0-57.0, текущая темп. 53.8, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:05, уставка 50.0-57.0, текущая темп. 53.5, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:06, уставка 50.0-57.0, текущая темп. 53.5, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:07, уставка 50.0-57.0, текущая темп. 53.5, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:08, уставка 50.0-57.0, текущая темп. 53.9, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:09, уставка 50.0-57.0, текущая темп. 53.9, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:10, уставка 50.0-57.0, текущая темп. 55.0, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:11, уставка 50.0-57.0, текущая темп. 55.0, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:12, уставка 50.0-57.0, текущая темп. 55.0, охл. ВЫКЛ., нагр. ВЫКЛ.
23:10:13, уставка 50.0-57.0, текущая темп. 56.3, охл. ВКЛ., нагр. ВЫКЛ.
23:10:14, уставка 50.0-57.0, текущая темп. 56.3, охл. ВКЛ., нагр. ВЫКЛ.
23:10:15, уставка 50.0-57.0, текущая темп. 56.3, охл. ВКЛ., нагр. ВЫКЛ.
23:10:16, уставка 50.0-57.0, текущая темп. 57.8, охл. ВКЛ., нагр. ВЫКЛ.
23:10:17, уставка 50.0-57.0, текущая темп. 57.8, охл. ВКЛ., нагр. ВЫКЛ.
23:10:18, уставка 50.0-57.0, текущая темп. 57.8, охл. ВКЛ., нагр. ВЫКЛ.
